id,author_details,title,isbn,publisher,date_published,bookshelf,series_details,pages,description,genre,book_uuid
1,"Lucarelli, Carlo",Il Sogno Di Volare,9788806205546,Einaudi,2013-01-01,"Romanzi,",Inspector Grazia Negro (5)|Ispettore Grazia Negro (5),280,"In una Bologna che non è più la stessa, un assassino fa giustizia da sé di fronte all'ingiustizia che vede. A combatterlo c'è solo lei. Grazia Negro. Anche lei non è più la stessa. E di assassini seriali non vorrebbe più sentir parlare.",Fiction / Mystery & Detective / General,a3af27c738675244b1d778701623ed6c
2,"Reichs, Kathy|Giagheddu, Alessandra Emma",Il Villaggio Degli Innocenti,9788817870238,Rizzoli,2002-06,"Romanzi,",Temperance Brennan (5),393,"In questo thriller Kathy Reichs ci conduce nelle profondità della giungla del Guatemala. È uno scenario che l'autrice conosce direttamente: ha fatto parte di un gruppo internazionale di antropologi forensi convocato per identificare le vittime dei trent'anni di guerra civile. Anche il suo alter ego romanzesco, Tempe Brennan, deve studiare i resti delle vittime di un atroce massacro del 1982, quando i soldati circondarono un villaggio, violentarono e trucidarono donne e bambini e gettarono i cadaveri in un pozzo. Ma gli orrori non appartengono solo al passato: nella capitale sono scomparse quattro bambine...",Fiction / Thrillers / Suspense,f4f5ae3a592323dc770ec7d47b20192e
3,"Reichs, Kathy|Giagheddu, Alessandra Emma",Morte Di Lunedì,9788817001953,Rizzoli,2004,"Romanzi,",Temperance Brennan (7),413,"Durante un gelido dicembre canadese, Tempe Brennan è a Montreal per una perizia durante un processo, quando nella cantina di una pizzeria vengono scoperti tre scheletri umani, sepolti sotto il pavimento. L'investigatore della polizia canadese, Luc Claudel, pensa che si tratti di antiche tombe, ma grazie alla tecnologia più sofisticata Tempe riesce a stabilire che le tre persone sono state assassinate recentemente. A chi appartengono quelle ossa? E cosa è accaduto davvero? Mentre l'indagine procede a ritmi serrati, e Tempe si accorge che il fidanzato di sempre, il detective Andrew Ryan, si comporta in maniera inspiegabile, appare sempre più chiaro che questi recenti delitti riportano alla luce una vicenda passata ancora più orribile.",Fiction / Thrillers / Suspense,4eb19eadf2de05f30eb27a9eb7165162
4,"Reichs, Kathy|Giagheddu, Alessandra Emma",Ossario,9788817007238,Rizzoli,2005,"Romanzi,",Temperance Brennan (8)|Scala stranieri,462,"Il cadavere di un uomo colpito alla testa viene ritrovato in uno sgabuzzino, dove è rimasto intrappolato per giorni. Mentre l'antropologa forense Tempe Brennan cerca di trovare una risposta alle ferite e fratture, a prima vista inspiegabili, riportate dalla vittima, qualcuno le invia la fotografia di un antico scheletro. A detta dello sconosciuto, la foto conterrebbe la chiave per risolvere il caso e incastrare il colpevole. Intanto, un numero sempre maggiore di indizi spinge Tempe e il detective Andrew Ryan, suo eterno fidanzato, a partire alla volta di Israele, per indagare sul contrabbando di reperti archeologici. Lì, Tempe viene a sapere di uno strano ossario a Masada...",Fiction / Thrillers / Suspense,c90277659c9e7ca36439f4f9ab185651
5,"Reichs, Kathy",Resti Umani,9788817864275,Rizzoli,2000-06,"Romanzi,",Temperance Brennan (3)|Scala stranieri,464,"Montreal, Canada: per il controllo dello spaccio di droga, esplode una sanguinosa gara tra bande rivali di motociclisti. Tra le prime vittime è Emily Ann, nove anni, che viene uccisa casualmente, per strada, durante uno scontro tra i due gruppi. Subito dopo vengono rinvenuti i resti carbonizzati di due gemelli, appartenenti a una delle gang. Quindi emergono, dal terreno che circonda la sede di un club di motociclisti, un cranio e due ossa femorali che risultano appartenere ad una ragazzina uccisa anni prima a centinaia di chilometri di distanza. Tocca alla dottoressa Brennan, antropologa forense, esaminare i resti delle vittime e far luce su una vicenda terribile.",Fiction / Thrillers / Suspense,c35c4c5e0f004058d8411cdb37c310c9
6,"Reichs, Kathy",Carne E Ossa,9788848603485,Rizzoli,2007-04,"Romanzi,",Temperance Brennan (9),441,تجد تمب نفسها عالقة بتدريس طلبة صف آثار غير متحمسين، يعملون ميدانياً على نبش مقابر تقع على شاطئ من شواطئ تشارلستون، وتعود للأميركيين، الأصليين، تعثر تمب وسط العظام القديمة، على هيكل عظمي توفي صاحبه منذ سنين قليلة. وتعمد صديقتها الحميمة، إيما روسو، وهي المحققة الجنائية المحلية إلى إقناعها بالبقاء لتساعد بالتحقيقات. تسارع تمب للموافقة على البقاء ومساعدة صديقتها على حل هذه القضية، وذلك بعد أن كشفت لها سراً مقلقاً من أسرارها.<br><br>يبدأ عدد الضحايا بالتصاعد، وجد رجل مجهول الهوية معلقاً على شجرة في عمق الغابات. وظهرت جثة أخرى داخل برميل. تكتشف تمب كسوراً غامضة على عظام عدة جثث، بالإضافة إلى دلالات على عمليات خنق. تتبع تمب آثار المجرم لتصل إلى عيادة مجانية في أحد الشوارع، والتي تضم موظفين عدائيين، وطبيباً مشكوكاً بأمره، وواعظاً من خلال محطات التلفزيون. وتتكاثر الدلائل في أماكن تبدو عادية في الظاهر، ثم تسرع تمب إلى استخدام معارفها الفريدة لتعزز القضية الموكلة بها، حتى ولو ظل الشريف المحلي متشككاً، ولو تعرضت حياتها للتهديد.<br><br>تكتشف تمب أن حياتها العاطفية أصبحت معقدة بعض الشيء هي الأخرى. جاء رايان، وهو صديقها الحالي، من مونتريال لزيارتها، أما زوجها السابق بيتي، فحضر كي يحقق باختفاء مواطنة. سكن زوجها السابق معها في منزل صديقة لهما يقع على شاطئ البحر. يتنافس رايان وبيتي على اجتذاب انتباهها. تجد تمب نفسها منشغلة بمشاعرها بالرجلين معاً، وبصورة أعمق مما توقعته.,Fiction / Thrillers / Suspense,a857740499a334046ace2a290a4afbd8
7,"Reichs, Kathy|Giagheddu, Alessandra Emma|reichs, by kathy",Viaggio Fatale,8846202635,Rl Libri,2001,"Romanzi,",Temperance Brennan (4),464,Perché è esploso sopra Bryson City (North Carolina) il volo 228 della TransSouth con a bordo 88 persone? Perché nelle operazioni di soccorso l'antropologa forense Tempe Brennan rinviene tra i corpi delle vittime un piede umano che non appartiene a nessuno di loro? Perché in quella zona negli ultimi decenni sono scomparse diverse persone anziane senza lasciare alcuna traccia? Perché nei sotterranei di un villino abbandonato vengono rinvenuti numerosi cadaveri con una strana incisione sul femore sinistro? Perché le autorità locali ostacolano le indagini di Tempe?,Fiction / Thrillers / Suspense,135626507848ca19a81d73c0e54bc6ce
8,"Reichs, Kathy|Annoni, Irene",Skeleton,9788848603768,Libri Oro Rizzoli,2008-01-01,"Romanzi,",Temperance Brennan (10),394,"Nel suo laboratorio di Montreal, Tempe Brennan, antropologa forense, studia le ossa dei morti a caccia di indizi che altrimenti sfuggirebbero agli investigatori. Sotto la luce fredda del neon è possibile trovare molte risposte, basta saperle cercare.<br>Ma quando lo scheletro di una ragazzina, scomparsa molti anni prima, riaffiora all'improvviso, le certezze di Tempe vacillano sotto l'urto delle emozioni. E mai possibile che quelle piccole ossa appartengano a Evangeline Landry, l'amica del cuore sparita nel nulla quando entrambe erano ancora bambine? Le coincidenze, e l'istinto, costringono Tempe a un viaggio inquietante nel territorio minato della memoria, dove la linea d'ombra che separa le bugie degli adulti e le paure dei bambini si assottiglia fino a scomparire.<br>Dopo il clamoroso successo di <em>Carne e ossa</em> Katy Reichs torna con un romanzo più teso e appassionante che mai, a conferma dello straordinario talento che l'ha consacrata nuova regina del thriller.",Fiction / Thrillers / Suspense,02a6e17a0632cde9721476dad43f2604
9,"Cornwell, Patricia|Rusconi, Anna|Cornwell, Patricia D.|Cornwell, Patricia Daniels",Quel Che Rimane,8804447079,Mondadori,1998-01-01,"Romanzi,",Kay Scarpetta (3),431,"La scomparsa di due giovani fidanzati e la scoperta, mesi dopo, dei loro cadaveri decomposti in un bosco fa sorgere nuovi interrogativi su una serie di misteriosi omicidi in cui sono state coinvolte, in circostanze simili, altre quattro coppie. Quel che rimane sono soltanto i loro corpi scheletrici e qualche frammento degli abiti: impossibile determinare la vera causa del decesso. Ma Kay Scarpetta, capo dell'ufficio di medicina legale di Richmond, raccoglie la sfida, ritrovandosi coinvolta in un'inchiesta che apre altre, inquietanti prospettive. Non è solo per il fatto che la madre di una delle ultime vittime è un'importante figura politica, consigliere del Presidente per i problemi legati al traffico della droga. C'è di mezzo anche l'Fbi, che si sta occupando del caso ma inquina le prove, e una giornalista del ""Washington Post"" che sembra al corrente di numerosi, forse troppi, segreti. In mano, Kay non ha che un indizio: il fante di cuori con cui l'assassino firma i suoi delitti. Per il resto, dovrà fare affidamento solo sulle sue capacità investigative...",,fa1745b48b904a000b0bb499f174436a
10,"Calvino, Italo",Gli Amori Difficili,9788804375906,Mondadori,2002-04-01,"Romanzi,",Italian Edition,262,"«Se queste sono, per la più parte, storie di come una coppia non s'incontra, nel loro non incontrarsi l'autore sembra far consistere non solo una ragione di disperazione ma pure un elemento fondamentale - se non addirittura l'esistenza stessa - del rapporto amoroso.»<br><em>Dalla nota introduttiva di Calvino alla prima edizione</em>",Foreign Language Study / Italian,a2bf0e06f25cd4194790a75ccc904260
